24-44 81-62 23-43 74-54 43-54 62-54 25-45 54-62 11-32 99-94 9-4 84-95 14-5 94-84 13-79 88-96 18-37 86-67 79-13 73-63 45-55 67-59 0-3 90-94 26-46 75-65 16-34 96-75 15-16 77-67 4-14 75-56 37-56 65-56 13-35 59-86 35-39 76-66 5-6 66-55 44-55 84-34 14-34 94-34 12-34 87-32 21-32 85-84 39-99 95-85 17-62 71-62 34-43 62-52 43-87 84-94 99-66 83-73 55-65 94-97 87-76 85-95 3-4 82-93 66-44 93-57 44-88 73-51 6-7 51-42 16-14 86-64 14-64 42-64 4-64 97-76 65-76-M	1-0
24-44 88-67 25-45 74-64 18-37 75-65 11-32 81-62 23-43 73-53 44-54 70-50 28-38 86-75 29-49 90-95 17-39 76-66 9-5 67-55 32-24 71-61 26-46 55-74 24-36 82-60 15-34 83-82 0-4 84-83 14-3 83-92 3-2 92-81 2-11 85-73 46-56 65-54 45-54 75-83 37-45 78-68 45-64 83-64 27-47 62-43 39-28 43-55 36-55 74-55 28-55 95-55 5-55 64-55 34-31 99-94 12-34 94-54 34-61 72-61 4-54 87-54 16-61 73-61 31-61 60-71 61-82 81-82 13-24 55-43 24-46 82-72 22-32 43-55 46-55 66-55 38-48 71-93 47-57 55-45 56-66 77-66 57-67 45-35 67-77-Q 72-63 77-95 66-56 95-35 93-66 11-10 54-45 49-59 68-59 48-59 79-69 35-68 63-54 68-66 45-23 66-69 56-46 69-36 54-55 36-33	1-0
24-44 73-53 44-53 83-53 11-32 53-54 15-34 54-56 18-37 82-37 16-37 56-67 14-15 90-93 9-4 81-62 23-33 67-69 26-36 99-94 32-53 93-73 21-41 84-95 41-51 62-43 12-30 43-64 25-45 76-66 30-3 69-68 17-35 77-57 45-55 64-43 15-26 95-96 26-17 88-76 37-56 76-55 56-68 55-34 53-34 86-68 35-71 57-47 13-15 47-36 3-36 72-52 51-62 43-62 71-62 73-43 0-1 96-97 1-71 94-92 62-53 43-53 34-53 92-22 4-74 22-20 74-75 85-82 75-72 20-10 71-11 10-11 15-11 68-35 17-18 82-85 53-74 35-26 18-19 85-15 11-15 26-15 74-66 15-7 19-8 87-43 36-54 7-26 8-9 43-61 66-78 97-88 72-76 26-47 78-57 70-50 9-18 47-35 57-69 88-97 54-63 50-40 76-36 35-14 36-37 97-86 69-88 14-6 18-19 86-75 33-43 61-43 37-47 43-21 47-40 75-64 63-81 21-54 81-54 64-54 40-47 54-65 28-38 6-33 88-67 79-69 29-39 65-66 39-49 33-25 67-48 69-59 48-36 25-7 19-9 66-56 47-97 56-46 38-48 59-48 36-48 7-28 9-18 28-49 48-29 49-85 27-37 46-36 97-87 85-49 87-86 36-35 37-47 49-68 86-85 35-46	1/2-1/2
25-45 71-61 24-44 78-68 23-43 82-71 26-46 79-59 16-24 87-69 14-5 74-64 0-4 90-97 15-34 84-93 34-30 70-60 44-54 83-82 22-42 75-65 11-32 69-96 43-53 65-54 5-16 54-45 12-45 85-83 30-31 96-52 16-6 97-95 32-44 73-63 44-52 63-52 53-63 72-63 31-61 71-17 13-17 82-72 61-80 72-74 18-37 77-67 24-32 64-54 32-50 83-82 50-71 86-42 6-7 74-71 17-71 93-83 80-81 95-92 71-73 83-94 81-82 92-82 73-82 88-96 45-54 63-54 82-52 42-20 52-50	1-0
24-44 74-54 18-37 88-67 11-32 81-62 9-5 99-95 32-53 62-74 0-4 90-94 14-3 75-65 25-45 71-61 45-54 65-54 15-34 85-93 13-57 76-66 57-24 72-62 53-74 93-74 21-31 95-5 4-5 94-95 12-30 95-5 16-5 74-75 34-35 75-35 24-35 83-65 5-14 86-64 35-65 87-65 14-35 73-53 44-53 62-53 35-24 54-44 24-51 82-73 51-70 65-83 70-81 83-72 81-92 84-95 92-74 95-94 37-56 64-45 74-85 94-84 85-96 84-93 96-74 93-84 56-77 73-46 77-65 84-75 74-96 75-65 96-77 65-76 77-98 76-75 98-87 75-84 87-65 84-94 65-76 94-93 76-85 93-82 85-74 82-91 26-36 45-24 3-4 24-13 4-15 13-24 15-4 46-64 74-41 67-46 30-3 46-27 41-60 24-60 4-5 60-24 5-14 24-36 14-13 36-17 20-40 64-28 22-42 53-42 31-42 66-56 40-50 61-50 42-52 56-46 52-62 46-36 3-36 72-36 23-43 44-33 29-49 36-45 49-59 33-23-m 13-12 23-42 12-13 17-35 13-3 42-2	0-1
24-34 88-67 25-45 75-55 16-25 86-65 18-37 79-69 21-41 70-50 20-30 71-61 11-32 72-62 41-51 62-51 32-51 82-60 30-40 67-46 25-46 55-46	0-1
24-44 90-94 9-4 84-93 14-5 74-64 18-37 88-67 5-6 67-48 29-39 48-29 23-43 29-17 6-17 77-67 22-42 78-58 11-32 79-59 37-45 59-49 43-53 64-54 45-33 58-48 4-9 48-39 9-39 93-92 25-35 73-63 13-40 70-60 21-41 71-61 42-52 61-51 32-51 82-73 52-62 60-51 40-51 73-91 20-40 94-98 0-8 92-93 51-71 91-82 71-81 82-28 8-28 83-81 12-34 98-28 16-28 99-98 28-16 86-94 41-51 85-82 15-11 81-90 51-61 72-61 34-61 94-61 16-61 90-91 62-72-N 82-72 61-72 93-82 72-91 98-91 11-12 82-73 39-49 91-90 49-89 87-96 89-82 90-70 40-50 96-74 50-60 74-83 82-83 73-83 12-62 83-84 62-70 84-85 70-80 85-74 60-70-Q 74-65 70-92 65-66 33-54 63-54 53-63	1-0
24-44 76-56 11-32 87-32 21-32 77-67 23-43 85-66 18-37 86-68 16-24 68-24 13-24 88-76 26-36 75-55 25-45 56-46 37-25 73-63 44-54 72-62 54-63 83-63 9-4 66-64 15-34 64-34 24-34 99-94 25-33 81-73 20-30 63-64 14-25 73-65 33-52 64-34 4-34 84-75 30-40 90-93 0-4 71-61 52-33 65-53 33-54 75-65 34-33 82-60 32-42 53-41 33-23 62-52 43-53 60-71 12-21 76-95 54-73 65-75 73-94 93-94 17-26 78-68 4-54 71-82 23-24 41-60 53-63 74-64 54-55 64-55 24-94 95-83 26-53 75-85 94-99	1-0
24-44 74-54 0-4 88-67 25-45 81-62 45-54 62-54 23-33 99-94 12-45 84-95 14-5 54-66 45-67 86-67 18-37 73-63 5-6 82-46 13-14 79-69 37-25 46-79 26-36 63-53 14-41 53-44 17-44 90-91 6-17 72-62 11-32 87-96 41-40 83-81 25-37 66-54 40-70 81-70 16-70 79-35 44-35 54-35 15-35 85-73 70-82 94-4 82-73 95-86 9-4 91-93 4-84 86-97 73-82 93-92 82-61 75-65 61-42 97-98 35-47 96-52 42-86 67-86 84-86 92-96 47-77	1-0
24-44 74-54 15-36 90-94 0-4 84-93 25-35 81-62 14-3 88-67 11-32 75-55 44-55 67-55 36-24 55-43 24-36 62-41 16-43 54-43 32-51 86-20 51-43 20-11	0-1
